feature,mean_f1_drop,std_f1_drop
academic_strength,0.18733381224994666,0.05896944535669163
gpa,0.16696569056662472,0.051509328552558166
study_hours_per_week,0.10458133348324523,0.033454178693146715
attendance_rate,0.06246878817104854,0.020664150651265607
work_study_balance,0.0450725580681436,0.025017677589955677
exam_score,0.03535194740989511,0.019460494521952577
income_per_study_hour,0.01730382293762578,0.008577503570086242
study_efficiency,0.01573887771070872,0.010039574120768155
household_income,0.0015649452269170584,0.004694835680751175
part_time_job_hours,0.0,0.0
